Altium Designer Pick and Place Locations
D:\ÌÓÂ‚ ÍÓ‚˜Â„\Œ·‡ÁÓ‚‡ÌËÂ\—¿œ–\PCB_Project_2\Project Outputs for PCB_Project_2\Pick Place\Pick Place for PCB3.csv

========================================================================================================================
File Design Information:

Date:       14.12.23
Time:       18:51
Revision:   f776db78481cca56496b313908d41d73313a7424
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R4","499 ","TopLayer","RES_0402","19.1740","38.0840","180",""
"K1","gost relay","TopLayer","RELE","38.4615","17.5965","90",""
"C9","7ÔÍ‘","TopLayer","0201_C0G_7Ô‘_25¬","16.5040","44.5840","360",""
"C10","7ÔÍ‘","TopLayer","0201_C0G_7Ô‘_25¬","16.5740","42.3840","180",""
"R5","200ŒÏ","TopLayer","RES_0805","23.5740","43.7965","90",""
"C6","100Ì‘","TopLayer","RES_0402","21.3740","31.0840","270",""
"—12","10ÏÍ‘","TopLayer","FB_0603","29.6740","23.6840","90",""
"—11","10ÏÍ‘","TopLayer","FB_0603","14.6740","22.6840","270",""
"—7","1ÏÍ‘","TopLayer","FB_0603","30.0740","32.0840","360",""
"—3","0,1ÏÍ‘","TopLayer","RES_0402","23.1000","31.1000","270",""
"XP2","PLD-8","TopLayer","PLD-8","9.4740","43.2940","270","PLD connector"
"XP1","PLD-8","TopLayer","PLD-8","35.5740","43.1940","270","PLD connector"
"X2","battery_x2","TopLayer","Battery_x2AA","60.8500","31.7000","270",""
"X1","usb_micro","TopLayer","USB_mini_B","20.6740","4.9340","180",""
"VT1","","TopLayer","SOT23-3","22.8740","17.5840","0","N-MOSFET"
"VD1","ap2112","TopLayer","2112","10.3740","15.1840","270",""
"R6","2K","TopLayer","RES_0805","27.3000","23.5125","90",""
"R3","2K","TopLayer","RES_0805","10.3740","21.7465","270",""
"R2","10k","TopLayer","RES_0805","17.8740","13.6215","270",""
"R1","12k","TopLayer","RES_0805","13.7615","31.4840","180",""
"L2","4,3Ì√","TopLayer","RES_0402","24.7740","31.0840","270",""
"L1","2,2Ì√","TopLayer","FB_0603","21.9740","28.7840","360",""
"DD2","M25P16-VMN6TP","TopLayer","SOIC-8(3.90ÏÏ)","23.9990","49.2590","360",""
"C8","10ÏÍ‘","TopLayer","FB_0603","26.0250","11.3000","360",""
"C5","0,1ÏÍ‘","TopLayer","RES_0402","26.1000","28.9000","270",""
"C4","10ÏÍ‘","TopLayer","FB_0603","23.9740","53.1840","360",""
"C1","3Ô‘","TopLayer","0201_C0G_7Ô‘_25¬","19.2000","28.7000","180",""
"—2","2,4Ô‘","TopLayer","0201_C0G_7Ô‘_25¬","24.1000","28.7000","270",""
"D1","","TopLayer","MBR120","26.4500","14.7250","270",""
"Q1","26Ã√ˆ","TopLayer","SMD02520C4","14.1250","46.3500","0",""
"DD1","esp8266ex","TopLayer","ESP8266","24.6490","37.0090","90",""
"X3","battery_x2","TopLayer","Battery_x2AA","95.0500","31.7000","270",""
